Engine Range (% of Load);Carbon Monoxide [kg CO/m^3];Nitrogene Oxydes [kg NOx/m^3];Formldehyd [kg CH2O/m^3];Methane Slop [kg CH4/m^3];Particulate Matter [kg/m^3];Sulfur Dioxide [kg SO2/m^3];Ammonia [kg NH3/m^3]
20;0.00328;0.01051;0.00360;0.00232;0.00031;0.00031;0.00031
40;0.00411;0.01314;0.00450;0.00290;0.00038;0.00038;0.00038
60;0.00456;0.01460;0.00500;0.00322;0.00043;0.00043;0.00043
80;0.00502;0.01606;0.00550;0.00354;0.00047;0.00047;0.00047
100;0.00602;0.01927;0.00660;0.00425;0.00056;0.00056;0.00056





